mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	1	0a	0	1.0	1	3/4	1/4	1/2		1			firstMeasure					2
2	1	2	1a	1	3.0	1	3/4	3/4	0										3
3	2	3	2a	4	3.0	1	3/4	3/4	0										4
4	3	4	3a	7	3.0	1	3/4	3/4	0										5
5	4	5	4a	10	3.0	1	3/4	3/4	0										6
6	5	6	5a	13	3.0	1	3/4	3/4	0										7
7	6	7	6a	16	3.0	1	3/4	3/4	0										8
8	7	8	7a	19	3.0	1	3/4	3/4	0										9
9	8	9	8a	22	2.0	1	3/4	1/2	0					end					1, 10
1	0	10	8a	24	1.0	1	3/4	1/4	1/2		1			firstMeasure					2
2	1	11	1b	25	3.0	1	3/4	3/4	0										3
3	2	12	2b	28	3.0	1	3/4	3/4	0										4
4	3	13	3b	31	3.0	1	3/4	3/4	0										5
5	4	14	4b	34	3.0	1	3/4	3/4	0										6
6	5	15	5b	37	3.0	1	3/4	3/4	0										7
7	6	16	6b	40	3.0	1	3/4	3/4	0										8
8	7	17	7b	43	3.0	1	3/4	3/4	0										9
9	8	18	8b	46	2.0	1	3/4	1/2	0					end					1, 10
10	8	19	8b	48	1.0	1	3/4	1/4	1/2		1			start					11
11	9	20	9a	49	3.0	1	3/4	3/4	0										12
12	10	21	10a	52	3.0	1	3/4	3/4	0										13
13	11	22	11a	55	3.0	1	3/4	3/4	0										14
14	12	23	12a	58	3.0	1	3/4	3/4	0										15
15	13	24	13a	61	3.0	1	3/4	3/4	0										16
16	14	25	14a	64	3.0	1	3/4	3/4	0										17
17	15	26	15a	67	3.0	1	3/4	3/4	0										18
18	16	27	16a	70	2.0	1	3/4	1/2	0					end	fine				10, 19, -1
10	8	28	16a	72	1.0	1	3/4	1/4	1/2		1			start					11
11	9	29	9b	73	3.0	1	3/4	3/4	0										12
12	10	30	10b	76	3.0	1	3/4	3/4	0										13
13	11	31	11b	79	3.0	1	3/4	3/4	0										14
14	12	32	12b	82	3.0	1	3/4	3/4	0										15
15	13	33	13b	85	3.0	1	3/4	3/4	0										16
16	14	34	14b	88	3.0	1	3/4	3/4	0										17
17	15	35	15b	91	3.0	1	3/4	3/4	0										18
18	16	36	16b	94	2.0	1	3/4	1/2	0					end	fine				10, 19, -1
19	16	37	16b	96	1.0	0	3/4	1/4	1/2		1			start					20
20	17	38	17a	97	3.0	0	3/4	3/4	0										21
21	18	39	18a	100	3.0	0	3/4	3/4	0										22
22	19	40	19a	103	3.0	0	3/4	3/4	0										23
23	20	41	20a	106	3.0	0	3/4	3/4	0										24
24	21	42	21a	109	3.0	0	3/4	3/4	0										25
25	22	43	22a	112	3.0	0	3/4	3/4	0										26
26	23	44	23a	115	3.0	0	3/4	3/4	0										27
27	24	45	24a	118	2.0	0	3/4	1/2	0					end					19, 28
19	16	46	24a	120	1.0	0	3/4	1/4	1/2		1			start					20
20	17	47	17b	121	3.0	0	3/4	3/4	0										21
21	18	48	18b	124	3.0	0	3/4	3/4	0										22
22	19	49	19b	127	3.0	0	3/4	3/4	0										23
23	20	50	20b	130	3.0	0	3/4	3/4	0										24
24	21	51	21b	133	3.0	0	3/4	3/4	0										25
25	22	52	22b	136	3.0	0	3/4	3/4	0										26
26	23	53	23b	139	3.0	0	3/4	3/4	0										27
27	24	54	24b	142	2.0	0	3/4	1/2	0					end					19, 28
28	24	55	24b	144	1.0	0	3/4	1/4	1/2		1			start					29
29	25	56	25a	145	3.0	0	3/4	3/4	0										30
30	26	57	26a	148	3.0	0	3/4	3/4	0										31
31	27	58	27a	151	3.0	0	3/4	3/4	0										32
32	28	59	28a	154	3.0	0	3/4	3/4	0										33
33	29	60	29a	157	3.0	0	3/4	3/4	0										34
34	30	61	30a	160	3.0	0	3/4	3/4	0										35
35	31	62	31a	163	3.0	0	3/4	3/4	0										36
36	32	63	32a	166	2.0	0	3/4	1/2	0					end		start		end	28, 1
28	24	64	32a	168	1.0	0	3/4	1/4	1/2		1			start					29
29	25	65	25b	169	3.0	0	3/4	3/4	0										30
30	26	66	26b	172	3.0	0	3/4	3/4	0										31
31	27	67	27b	175	3.0	0	3/4	3/4	0										32
32	28	68	28b	178	3.0	0	3/4	3/4	0										33
33	29	69	29b	181	3.0	0	3/4	3/4	0										34
34	30	70	30b	184	3.0	0	3/4	3/4	0										35
35	31	71	31b	187	3.0	0	3/4	3/4	0										36
36	32	72	32b	190	2.0	0	3/4	1/2	0					end		start		end	28, 1
1	0	73	32b	192	1.0	1	3/4	1/4	1/2		1			firstMeasure					2
2	1	74	1c	193	3.0	1	3/4	3/4	0										3
3	2	75	2c	196	3.0	1	3/4	3/4	0										4
4	3	76	3c	199	3.0	1	3/4	3/4	0										5
5	4	77	4c	202	3.0	1	3/4	3/4	0										6
6	5	78	5c	205	3.0	1	3/4	3/4	0										7
7	6	79	6c	208	3.0	1	3/4	3/4	0										8
8	7	80	7c	211	3.0	1	3/4	3/4	0										9
9	8	81	8d	214	2.0	1	3/4	1/2	0					end					1, 10
10	8	82	8d	216	1.0	1	3/4	1/4	1/2		1			start					11
11	9	83	9c	217	3.0	1	3/4	3/4	0										12
12	10	84	10c	220	3.0	1	3/4	3/4	0										13
13	11	85	11c	223	3.0	1	3/4	3/4	0										14
14	12	86	12c	226	3.0	1	3/4	3/4	0										15
15	13	87	13c	229	3.0	1	3/4	3/4	0										16
16	14	88	14c	232	3.0	1	3/4	3/4	0										17
17	15	89	15c	235	3.0	1	3/4	3/4	0										18
18	16	90	16d	238	2.0	1	3/4	1/2	0					end	fine				10, 19, -1
